path,name,id
Região de SAB > Sector 1 > AS CMI,CS APGB,IRxYbxpr6Eu
Região de SAB > Sector 1 > AS CMI,CS Policlinica UNTG,HkBxHn7GJ14
Região de SAB > Sector 1 > AS CMI,Hospital Nacional Simao Mendes,yv3zoYMvzdj
Região de SAB > Sector 1 > AS CMI,SAB/CMI/004,hfWin003173
Região de SAB > Sector 1 > AS CMI,SAB/CMI/002,hfWin003171
Região de SAB > Sector 1 > AS CMI,SAB/CMI/009,hfWin003178
Região de SAB > Sector 1 > AS CMI,SAB/CMI/014,hfWin003183
Região de SAB > Sector 1 > AS CMI,Clinica Santa,r0TLP3zQPLM
Região de SAB > Sector 1 > AS CMI,SAB/CMI/003,hfWin003172
Região de SAB > Sector 1 > AS CMI,Clinica Ceu & Terra,v1l7zA2Yzyf
Região de SAB > Sector 1 > AS CMI,Clinica Delfim,jNgqSd92MfF
Região de SAB > Sector 1 > AS CMI,CS SMI,VgRPT6Hczye
Região de SAB > Sector 1 > AS CMI,Clinica Mavegro,rabslFASokq
Região de SAB > Sector 1 > AS CMI,CS Marinha Nacional,N3DqS562Mu9
Região de SAB > Sector 1 > AS CMI,CS Dispensario Nações Unidas,HvqpYGgDt9G
Região de SAB > Sector 1 > AS CMI,SAB/CMI/008,hfWin003177
Região de SAB > Sector 1 > AS CMI,SAB/CMI/007,hfWin003176
Região de SAB > Sector 1 > AS CMI,Clinica Aly Acha,CS9OSw3XH8q
Região de SAB > Sector 1 > AS CMI,CS Ministerio do Interior,SYKeVMnaRhR
Região de SAB > Sector 1 > AS CMI,CS UN Dispensario,MNrzZU6IwQi
Região de SAB > Sector 1 > AS CMI,SAB/CMI/001,hfWin003170
Região de SAB > Sector 1 > AS CMI,SAB/CMI/010,hfWin003179
Região de SAB > Sector 1 > AS CMI,SAB/CMI/013,hfWin003182
Região de SAB > Sector 1 > AS CMI,SAB/CMI/006,hfWin003175
Região de SAB > Sector 1 > AS CMI,SAB/CMI/011,hfWin003180
Região de SAB > Sector 1 > AS CMI,SAB/CMI/012,hfWin003181
Região de SAB > Sector 1 > AS CMI,SAB/CMI/005,hfWin003174
Região de SAB > Sector 2 > AS Sintra Nema,SAB/S.NEM/003,SABBMIL0157
Região de SAB > Sector 2 > AS Sintra Nema,SAB/S.NEM/008,rVtPpmRnx0t
Região de SAB > Sector 2 > AS Sintra Nema,SAB/S.NEM/006,SABBMIL0160
Região de SAB > Sector 2 > AS Sintra Nema,SAB/S.NEM/002,SABBMIL0156
Região de SAB > Sector 2 > AS Sintra Nema,SAB/S.NEM/007,mx2t5QqavCe
Região de SAB > Sector 2 > AS Sintra Nema,SAB/S.NEM/004,SABBMIL0158
Região de SAB > Sector 2 > AS Sintra Nema,SAB/S.NEM/005,SABBMIL0159
Região de SAB > Sector 2 > AS Sintra Nema,SAB/S.NEM/001,SABBMIL0155
Região de SAB > Sector 2 > AS Pefine,SAB/PEF/003,hfWin003339
Região de SAB > Sector 2 > AS Pefine,SAB/PEF/012,hfWin003348
Região de SAB > Sector 2 > AS Pefine,SAB/PEF/007,hfWin003343
Região de SAB > Sector 2 > AS Pefine,SAB/PEF/001,hfWin003337
Região de SAB > Sector 2 > AS Pefine,SAB/PEF/004,hfWin003340
Região de SAB > Sector 2 > AS Pefine,SAB/PEF/013,hfWin003349
Região de SAB > Sector 2 > AS Pefine,SAB/PEF/010,hfWin003346
Região de SAB > Sector 2 > AS Pefine,SAB/PEF/009,hfWin003345
Região de SAB > Sector 2 > AS Pefine,SAB/PEF/006,hfWin003342
Região de SAB > Sector 2 > AS Pefine,SAB/PEF/005,hfWin003341
Região de SAB > Sector 2 > AS Pefine,SAB/PEF/011,hfWin003347
Região de SAB > Sector 2 > AS Pefine,CS Pefine,sIAyEE4WBTp
Região de SAB > Sector 2 > AS Pefine,SAB/PEF/002,hfWin003338
Região de SAB > Sector 2 > AS Pefine,SAB/PEF/014,hfWin003350
Região de SAB > Sector 2 > AS Pefine,SAB/PEF/008,hfWin003344
Região de SAB > Sector 5 > AS Bairro Ajuda,SAB/AJU/001,hfWin002848
Região de SAB > Sector 5 > AS Bairro Ajuda,CS Aguibef,dJvlZPJfzyb
Região de SAB > Sector 5 > AS Bairro Ajuda,SAB/AJU/002,hfWin002849
Região de SAB > Sector 5 > AS Bairro Ajuda,SAB/AJU/003,hfWin002850
Região de SAB > Sector 5 > AS Bairro Ajuda,CS Ajuda,vZQ7UwtbKkI
Região de SAB > Sector 5 > AS Missira,SAB/MIS/031,hfWin003335
Região de SAB > Sector 5 > AS Missira,SAB/MIS/009,hfWin003313
Região de SAB > Sector 5 > AS Missira,SAB/MIS/014,hfWin003318
Região de SAB > Sector 5 > AS Missira,SAB/MIS/002,hfWin003306
Região de SAB > Sector 5 > AS Missira,SAB/MIS/027,hfWin003331
